load factor,# scenarios,preventive obj. val.,preventive iter.,preventive time,corrective obj. val.,corrective iter.,corrective time,obj. rel. gap
1.0,20,2776.1904,11,202.04,2696.8098,12,193.61,2.94
1.0,40,2647.165,11,461.81,2565.1058,8,250.71,3.19
1.0,60,2512.6327,13,746.24,2444.7406,9,390.91,2.77
1.0,80,2473.2381,11,797.54,2403.9204,4,770.39,2.88
1.0,100,2484.1002,11,935.42,2422.8754,8,589.14,2.52
1.0,120,2428.3808,10,2589.0,2380.8227,4,394.4,1.99
1.0,140,2482.7677,11,2979.67,2431.7434,9,942.48,2.09
1.0,160,2485.7243,11,4080.08,2430.5275,8,982.4,2.27
1.0,180,2471.31,11,4344.85,2419.9929,9,1273.64,2.12
1.0,200,2468.5969,11,4931.17,2421.8684,4,689.13,1.92
1.05,20,3394.0902,11,483.31,3278.6843,7,136.08,3.51
1.05,40,3263.5422,12,7910.58,3093.6026,8,916.99,5.49
1.05,60,3087.032,12,7840.86,2944.8955,10,1283.12,4.82
1.05,80,3045.9048,12,8116.71,2906.1964,10,1407.84,4.8
1.05,100,3075.785,12,9039.49,2960.4794,10,1041.74,3.89
1.05,120,3008.2082,12,9388.02,2905.0811,10,1937.38,3.54
1.05,140,3063.2394,11,9534.0,2966.5305,10,2086.96,3.26
1.05,160,3057.9819,12,11272.08,2960.9181,10,2675.7,3.27
1.05,180,3037.621,12,24742.85,2948.8311,10,2467.73,3.01
1.05,200,3036.0305,11,12487.13,2945.3743,10,2766.56,3.07
