# scenarios,preventive obj. val.,preventive iter.,preventive time,corrective obj. val.,corrective iter.,corrective time,obj. rel. gap
20,2776.1904,11,202.04,2696.8098,12,193.61,2.94
40,2647.165,11,461.81,2565.1058,8,250.71,3.19
60,2512.6327,13,746.24,2444.7406,9,390.91,2.77
80,2473.2381,11,797.54,2403.9204,4,770.39,2.88
100,2484.1002,11,935.42,2422.8754,8,589.14,2.52
120,2428.3808,10,2589.0,2380.8227,4,394.4,1.99
140,2482.7677,11,2979.67,2431.7434,9,942.48,2.09
160,2485.7243,11,4080.08,2430.5275,8,982.4,2.27
180,2471.31,11,4344.85,2419.9929,9,1273.64,2.12
200,2468.5969,11,4931.17,2421.8684,4,689.13,1.92
20,3394.0902,11,483.31,3278.6843,7,136.08,3.51
