load factor,# scenarios,serial prev. time,serial corr. time,serial prev. obj. val.,serial corr. obj. val.,serial obj. rel. gap.,serial prev. iter.,serial corr. iter.
1.0,20,425.82,123.97,2776.463,2698.2928,2.89,11,9
1.0,40,860.39,66.05,2647.4076,2573.7137,2.86,11,3
1.0,80,1618.01,146.58,2473.3915,2406.5809,2.77,11,3
1.0,120,6793.67,3162.58,2516.8927,2456.3791,2.46,35,28
1.0,140,4702.61,1674.28,2491.1785,2449.0495,1.72,19,15
1.0,160,3318.14,416.03,2489.4122,2437.9609,2.11,10,4
1.0,200,3911.18,364.96,2471.6957,2423.7092,1.97,10,3
1.05,20,494.36,143.76,3394.3747,3278.2891,3.54,10,8
1.05,40,8016.37,933.28,3263.4823,3094.5577,5.45,13,9
1.05,60,8063.93,1676.89,3087.044,2944.8608,4.82,12,10
1.05,80,8262.2,1633.07,3045.9242,2906.1768,4.8,12,10
1.05,100,12206.9,3916.38,3275.3193,3085.9766,6.13,32,25
1.05,120,13379.21,3811.03,3166.5036,3031.8105,4.44,35,28
1.05,140,12328.28,3053.27,3078.9972,2983.7062,3.19,23,18
1.05,160,10509.55,1736.77,3061.1122,2965.0586,3.23,11,7
1.05,180,12534.96,2643.53,3040.5111,2952.2832,2.98,11,8
1.05,200,12728.38,1450.19,3038.6019,2949.7134,3.01,11,7
