load factor,# scenarios,serial prev. time,parallel prev. time,serial corr. time,parallel corr. time,serial prev. obj. val.,serial corr. obj. val.,serial obj. rel. gap.,parallel prev. obj. val.,parallel corr. obj. val.,parallel obj. rel. gap.,prev. ser. to par. rel. gap,corr. ser. to par. rel. gap,serial prev. iter.,parallel prev. iter.,serial corr. iter.,parallel corr. iter.
1.0,20,202.04,81.51,193.61,27.34,2776.1904,2696.8098,2.94,2776.0269,2697.4335,2.91,0.0,0.02,11,13,12,12
1.0,40,461.81,304.87,250.71,174.09,2647.165,2565.1058,3.19,2595.105,2510.4585,3.37,1.96,2.13,11,13,8,11
1.0,60,746.24,500.83,390.91,255.09,2512.6327,2444.7406,2.77,2477.8953,2408.9183,2.86,1.38,1.46,13,13,9,9
1.0,80,797.54,1274.08,770.39,308.85,2473.2381,2403.9204,2.88,2443.4832,2372.4238,2.99,1.2,1.31,11,14,4,10
1.0,100,935.42,1335.03,589.14,390.92,2484.1002,2422.8754,2.52,2462.8399,2400.5133,2.59,0.85,0.92,11,13,8,11
1.0,120,2589.0,1772.02,394.4,438.45,2428.3808,2380.8227,1.99,2417.9656,2360.5576,2.43,0.42,0.85,10,13,4,9
1.0,140,2979.67,2066.49,942.48,484.25,2482.7677,2431.7434,2.09,2434.3395,2379.4035,2.3,1.95,2.15,11,13,9,11
1.0,160,4080.08,2934.43,982.4,737.85,2485.7243,2430.5275,2.27,2474.5816,2416.0598,2.42,0.44,0.59,11,13,8,10
1.0,180,4344.85,3380.58,1273.64,773.03,2471.31,2419.9929,2.12,2474.054,2419.6674,2.24,0.11,0.01,11,13,9,11
1.0,200,4931.17,3659.57,689.13,719.57,2468.5969,2421.8684,1.92,2460.6365,2408.38,2.16,0.32,0.55,11,12,4,9
1.05,20,483.31,76.52,136.08,112.85,3394.0902,3278.6843,3.51,3394.368,3278.5696,3.53,0.0,0.0,11,11,7,9
1.05,40,7910.58,8014.49,916.99,780.86,3263.5422,3093.6026,5.49,3201.2481,3031.7519,5.59,1.9,1.99,12,14,8,10
1.05,60,7840.86,9574.91,1283.12,472.67,3087.032,2944.8955,4.82,3045.4347,2902.9788,4.9,1.34,1.42,12,15,10,12
1.05,80,8116.71,8389.74,1407.84,1541.47,3045.9048,2906.1964,4.8,2998.8368,2873.6884,4.35,1.54,1.11,12,14,10,12
1.05,100,9039.49,8218.49,1041.74,917.02,3075.785,2960.4794,3.89,3055.5344,2935.2699,4.09,0.65,0.85,12,13,10,12
1.05,120,9388.02,8586.4,1937.38,720.36,3008.2082,2905.0811,3.54,2991.3473,2884.1881,3.71,0.56,0.71,12,13,10,12
1.05,140,9534.0,9412.7,2086.96,1375.77,3063.2394,2966.5305,3.26,3004.6659,2904.3302,3.45,1.91,2.09,11,14,10,12
1.05,160,11272.08,9025.12,2675.7,1355.26,3057.9819,2960.9181,3.27,3060.1263,2942.6441,3.99,0.07,0.61,12,12,10,12
1.05,180,24742.85,10543.58,2467.73,1745.0,3037.621,2948.8311,3.01,3040.2495,2948.6136,3.1,0.08,0.0,12,13,10,12
1.05,200,12487.13,11076.21,2766.56,1919.78,3036.0305,2945.3743,3.07,3025.8881,2932.5509,3.18,0.33,0.43,11,13,10,12
